# tools/starfield/dso.py; id|type|ra|dec|V|maj|min|name|description|cross_ids
M84|lg|186.2656|+12.8870|9.1|6.5|5.8||A lenticular galaxy at the head of Markarian's Chain|NGC 4374
M85|lg|186.3502|+18.1911|9.1|6.9|5.2|||NGC 4382
M86|lg|186.5492|+12.9460|8.9|9.3|6.6||A lenticular galaxy in Markarian's Chain|NGC 4406
M87|eg|187.7059|+12.3911|8.6|6.3|5.7|Virgo A|The giant galaxy whose black hole was the first imaged|NGC 4486
M88|sg|187.9967|+14.4204|9.6|6.7|3.5||A spiral galaxy in the Virgo Cluster|NGC 4501
M89|eg|188.9159|+12.5563|9.8|4.4|3.9||An elliptical galaxy in the Virgo Cluster|NGC 4552
M90|sg|189.2075|+13.1629|9.5|9.6|3.9||A spiral galaxy in the Virgo Cluster|NGC 4569
M91|sg|188.8601|+14.4963|10.2|5.2|4.3||A barred spiral galaxy in Coma Berenices|NGC 4548
M92|gc|259.2808|+43.1359|6.4|11|11||A bright globular cluster, often overlooked beside M13|NGC 6341
M93|oc|116.1250|-23.8567|6.2|24|24|||NGC 2447
M94|sg|192.7215|+41.1202|8.2|7|5.9||A spiral galaxy with a bright inner ring|NGC 4736
M95|sg|160.9906|+11.7036|9.7|5.6|5||A barred spiral galaxy in Leo|NGC 3351
M96|sg|161.6906|+11.8199|9.2|6.6|4.9|||NGC 3368
M97|pn|168.6988|+55.0190|9.9|3.3|3.3|Owl Nebula|A planetary nebula with two dark 'eyes'|NGC 3587
M98|sg|183.4512|+14.9005|10.1|11|2.9||A spiral galaxy seen nearly edge-on|NGC 4192
M99|sg|184.7068|+14.4165|9.9|4.6|4.3|Coma Pinwheel|A face-on spiral galaxy in Coma Berenices|NGC 4254
M100|sg|185.7289|+15.8223|9.3|6.3|5.3||A grand-design spiral galaxy in Coma Berenices|NGC 4321
M101|sg|210.8024|+54.3488|7.9|22|21|Pinwheel Galaxy|A large face-on spiral galaxy|NGC 5457
M102|lg|226.6232|+55.7633|9.9|6.3|2.7|Spindle Galaxy|A lenticular galaxy seen edge-on (usually taken as NGC 5866)|NGC 5866
M103|oc|23.3458|+60.6500|7.4|7.4|7.4||A small open cluster in Cassiopeia|NGC 581
M104|sg|189.9976|-11.6231|8.0|8.5|5|Sombrero Galaxy|A spiral galaxy seen edge-on with a dark dust lane|NGC 4594
M105|eg|161.9567|+12.5816|9.3|5.1|4.7|||NGC 3379
M106|sg|184.7401|+47.3037|8.4|18|6.9||A spiral galaxy with an active nucleus|NGC 4258
M107|gc|248.1327|-13.0538|7.9|10|10||A loose globular cluster in Ophiuchus|NGC 6171
M108|sg|167.8790|+55.6741|10.0|15|3.9|Surfboard Galaxy|A barred spiral galaxy seen nearly edge-on|NGC 3556
M109|sg|179.3999|+53.3745|9.8|8.2|4.6||A barred spiral galaxy near Phecda|NGC 3992
M110|eg|10.0919|+41.6854|8.1|3.3|2.1||A dwarf elliptical galaxy, satellite of M31|NGC 205
IC2602|oc|160.7417|-64.4000|1.9|50|50|Southern Pleiades|A bright open cluster around Theta Carinae|
IC2391|oc|130.1333|-53.0333|2.5|50|50|Omicron Velorum Cluster|A bright, loose open cluster in Vela|
NGC6231|oc|253.5355|-41.8267|2.6|15|15||A young open cluster in the tail of Scorpius|
NGC3532|oc|166.4125|-58.7533|3.0|64|64|Wishing Well Cluster|One of the finest open clusters for binoculars|
NGC2451|oc|116.3500|-37.9670|2.8|45|45||Two open clusters in the same direction in Puppis|
NGC869|oc|34.7500|+57.1283|3.7|16|16|Double Cluster (h Persei)|One half of the Double Cluster|
NGC884|oc|35.5958|+57.1250|3.8|15|15|Double Cluster (Chi Persei)|One half of the Double Cluster|
NGC2516|oc|119.5167|-60.7533|3.8|30|30|Southern Beehive|A bright open cluster in Carina|
NGC2232|oc|96.8125|-4.7583|3.9|30|30|||
NGC2264|cn|100.2417|+9.8950|3.9|40|40|Christmas Tree Cluster|A cluster with the Cone Nebula at its foot|
NGC2362|oc|109.6708|-24.9550|4.1|8|8|Tau Canis Majoris Cluster|A young cluster around Tau Canis Majoris|
NGC1981|oc|83.7875|-4.4317|4.2|25|25||A loose cluster just north of the Orion Nebula|
IC4665|oc|266.5750|+5.7167|4.2|61|61|Summer Beehive|A large open cluster near Beta Ophiuchi|
NGC3114|oc|150.6500|-60.1200|4.2|49|49||A large open cluster in Carina|
NGC4755|oc|193.4125|-60.3617|4.2|10|10|Jewel Box|A bright, colourful open cluster beside Mimosa|
IC2581|oc|156.8708|-57.6167|4.3|7.1|7.1|||
NGC6633|oc|276.8800|+6.5700|4.6|43|43||An open cluster in Ophiuchus, near IC 4756|
IC4756|oc|279.6300|+5.4900|4.6|64|64|Graff's Cluster|A large open cluster in Serpens|
IC2395|oc|130.6292|-48.1000|4.6|8|8|||
NGC2547|oc|122.4682|-49.1764|4.7|34|34|||
NGC3293|oc|158.9550|-58.2300|4.7|6|6|Gem Cluster|A young cluster near the Carina Nebula|
NGC2244|oc|97.9792|+4.9417|4.8|24|24||The cluster at the heart of the Rosette Nebula|
NGC5139|gc|201.6970|-47.4795|3.7|36|36|Omega Centauri|The largest globular cluster of the Galaxy|
NGC104|gc|6.0223|-72.0814|4.0|44|44|47 Tucanae|The second-brightest globular cluster, beside the Small Magellanic Cloud|
NGC6397|gc|265.1754|-53.6743|5.7|26|26||One of the two nearest globular clusters|
NGC6752|gc|287.7171|-59.9846|5.4|20|20||A bright globular cluster in Pavo|
NGC2808|gc|138.0129|-64.8635|6.2|14|14||A massive globular cluster in Carina|
NGC362|gc|15.8094|-70.8488|6.4|13|13||A globular cluster seen beside the Small Magellanic Cloud|
NGC6541|gc|272.0098|-43.7149|6.3|13|13|||
NGC3201|gc|154.4034|-46.4125|6.8|18|18||A loose globular cluster in Vela on a backward orbit|
NGC6388|gc|264.0728|-44.7356|6.7|11|11||A dense globular cluster in Scorpius|
NGC1851|gc|78.5279|-40.0468|7.1|11|11||A compact globular cluster in Columba|
NGC6723|gc|284.8881|-36.6322|7.0|11|11||A globular cluster near the Corona Australis nebula|
NGC5286|gc|206.6117|-51.3743|7.3|9.1|9.1|||
NGC6441|gc|267.5544|-37.0514|7.2|7.8|7.8||A globular cluster beside G Scorpii|
NGC4833|gc|194.8913|-70.8765|6.9|14|14|||
LMC|ig|80.8942|-69.7561|0.4|320|270|Large Magellanic Cloud|The largest satellite galaxy of the Milky Way|
SMC|ig|13.1583|-72.8003|2.2|160|93|Small Magellanic Cloud|A satellite galaxy of the Milky Way|NGC 292
NGC5128|eg|201.3651|-43.0191|6.8|26|18|Centaurus A|A radio galaxy crossed by a band of dust|
NGC253|sg|11.8881|-25.2888|7.2|29|5.9|Sculptor Galaxy|A bright starburst spiral galaxy, also called the Silver Coin|
NGC55|sg|3.7233|-39.1966|7.9|32|4||A spiral galaxy seen edge-on in Sculptor|
NGC300|sg|13.7227|-37.6842|8.1|21|13||A face-on spiral galaxy in Sculptor|
NGC2403|sg|114.2142|+65.6025|8.5|10|5.9|||
NGC4945|sg|196.3637|-49.4679|8.5|20|4.3||A spiral galaxy seen edge-on in Centaurus|
NGC6822|ig|296.2342|-14.7976|8.5|14|13|Barnard's Galaxy|A dwarf irregular galaxy of the Local Group|
NGC1316|lg|50.6741|-37.2082|8.5|9.7|6.5|Fornax A|A radio galaxy in the Fornax Cluster|
NGC3115|lg|151.3082|-7.7186|8.9|13|5.3||A lenticular galaxy seen edge-on in Sextans|
IC342|sg|56.7021|+68.0961|8.3|22|21|Hidden Galaxy|A large spiral galaxy dimmed by dust in our own Galaxy|
NGC6744|sg|287.4421|-63.8575|8.3|17|11||A large spiral galaxy much like the Milky Way|
NGC2903|sg|143.0421|+21.5008|9.0|8.9|4.6||A barred spiral galaxy in Leo|
NGC7793|sg|359.4573|-32.5910|9.1|10|6|||
NGC247|sg|11.7856|-20.7604|9.1|17|6|Needle's Eye Galaxy||
NGC185|eg|9.7415|+48.3374|9.2|11|9.6||A dwarf elliptical galaxy, satellite of M31|
NGC4631|sg|190.5334|+32.5415|9.2|17|3.1|Whale Galaxy|A spiral galaxy seen edge-on|
NGC7331|sg|339.2671|+34.4159|9.5|10|4.2|||
NGC1097|sg|41.5794|-30.2749|9.5|11|5.7||A barred spiral galaxy in Fornax|
NGC2997|sg|146.4115|-31.1909|9.2|9.8|6.9|||
NGC3521|sg|166.4524|-0.0359|9.0|6.9|4.7|||
NGC3628|sg|170.0709|+13.5895|9.5|24|4.8|Hamburger Galaxy|The third galaxy of the Leo Triplet|
NGC6946|sg|308.7181|+60.1537|8.8|11|11|Fireworks Galaxy|A spiral galaxy where many supernovae have been seen|
NGC1291|sg|49.3275|-41.1081|8.5|10|8.1||A ring galaxy in Eridanus|
NGC4697|eg|192.1496|-5.8007|9.2|7.6|5|||
NGC7293|pn|337.4106|-20.8372|7.6|13|13|Helix Nebula|One of the nearest planetary nebulae|
NGC7009|pn|316.0451|-11.3635|8.0|0.71|0.52|Saturn Nebula|A planetary nebula with two faint extensions|
NGC3242|pn|156.1922|-18.6423|7.7|0.7|0.7|Ghost of Jupiter|A bright planetary nebula in Hydra|
NGC6543|pn|269.6392|+66.6330|8.1|0.62|0.54|Cat's Eye Nebula|A planetary nebula near the north ecliptic pole|
NGC6572|pn|273.0263|+6.8536|8.1|0.6|0.41||A small, bright planetary nebula in Ophiuchus|
NGC3918|pn|177.5741|-57.1825|8.1|0.27|0.27|Blue Planetary|A bright planetary nebula in Centaurus|
NGC7662|pn|351.4733|+42.5350|8.3|0.38|0.38|Blue Snowball|A bright planetary nebula in Andromeda|
NGC6826|pn|296.2006|+50.5251|8.8|0.66|0.58|Blinking Planetary|A planetary nebula that seems to vanish when looked at directly|
NGC6210|pn|251.1230|+23.7999|8.8|0.44|0.41|Turtle Nebula|A bright planetary nebula in Hercules|
NGC7027|pn|316.7561|+42.2363|8.5|0.2|0.19||A young, compact planetary nebula in Cygnus|
NGC2392|pn|112.2949|+20.9118|9.2|0.34|0.34|Eskimo Nebula||
IC418|pn|81.8675|-12.6973|9.0|0.26|0.26|Spirograph Nebula||
NGC2440|pn|115.4788|-18.2082|9.4|0.36|0.34|||
NGC1360|pn|53.3110|-25.8717|9.4|6.4|6.4|Robin's Egg Nebula|A large planetary nebula in Fornax|
NGC6818|pn|295.9918|-14.1537|9.3|0.44|0.44|Little Gem Nebula||
NGC3372|en|161.0792|-59.8892|3.0|120|120|Carina Nebula|A vast star-forming nebula around Eta Carinae|
NGC7000|en|314.6958|+44.3300|4.0|120|100|North America Nebula|A large emission nebula shaped like the continent|
IC5070|en|312.7500|+44.3670|8.0|60|50|Pelican Nebula|An emission nebula beside the North America Nebula|
NGC2237|en|97.6504|+4.9807||80|60|Rosette Nebula|A ring-shaped nebula around the cluster NGC 2244|NGC 2238,NGC 2239,NGC 2246
NGC1499|en|60.8250|+36.4217||145|40|California Nebula|A long, faint emission nebula in Perseus|
NGC6960|snr|311.4083|+30.7083||70|6|Western Veil Nebula|Part of the Veil, the remnant of an ancient supernova|
NGC6992|snr|314.0792|+31.7433||60|8|Eastern Veil Nebula|Part of the Veil, the remnant of an ancient supernova|NGC 6995
IC1396|en|324.7500|+57.4900||150|150|Elephant's Trunk Nebula|A large emission nebula and cluster in Cepheus|
IC1805|en|38.1750|+61.4500|6.5|150|150|Heart Nebula|An emission nebula with a young cluster in Cassiopeia|
IC1848|en|42.7770|+60.4100|6.5|150|75|Soul Nebula|An emission nebula beside the Heart Nebula|
IC2944|en|174.5833|-63.3728|4.5|75|45|Running Chicken Nebula|An emission nebula and cluster in Centaurus|
IC434|en|85.2500|-2.5000||60|10|Horsehead Nebula|A faint nebula with the dark Horsehead against it|
IC2177|en|106.1042|-10.4550||120|40|Seagull Nebula|A long emission nebula between Canis Major and Monoceros|
NGC281|en|13.1046|+56.5650|7.4|35|30|Pacman Nebula|An emission nebula with a young cluster in Cassiopeia|
IC405|en|79.3500|+34.3830|9.2|37|19|Flaming Star Nebula|A nebula lit by the runaway star AE Aurigae|
NGC6334|en|260.2120|-36.1150||40|20|Cat's Paw Nebula|A star-forming nebula in Scorpius|
IC4628|en|254.2278|-40.5123|7.1|90|60|Prawn Nebula|A large emission nebula in Scorpius|
IC4604|rn|246.5000|-23.4000||60|25|Rho Ophiuchi Nebula|A reflection nebula in the cloud complex around Rho Ophiuchi|
IC443|snr|94.5113|+22.6600||50|40|Jellyfish Nebula||
IC2118|rn|75.5000|-7.9000||180|60|Witch Head Nebula|A faint reflection nebula lit by Rigel|
NGC2070|en|84.6750|-69.1000|7.2|40|25|Tarantula Nebula|The largest star-forming region of the Local Group, in the LMC|
NGC2174|en|92.4250|+20.5000||40|30|Monkey Head Nebula||
Mel25|oc|66.7250|+15.8667|0.5|330|330|Hyades|The nearest open cluster, forming the face of Taurus|
Mel20|oc|51.6750|+48.8000|1.2|185|185|Alpha Persei Cluster|A large naked-eye cluster around Mirfak|
Mel111|oc|186.2750|+26.1000|1.8|275|275|Coma Star Cluster|A large naked-eye cluster in Coma Berenices|
Cr399|as|291.3500|+20.1830|3.6|60|60|Coathanger|An asterism of ten stars shaped like a coat hanger|
