# Named lunar features for SkyFix Lab (skyfix_almanac::lunar_features).
# Generated by tools/moon/build.py; do not edit by hand.
# Names, coordinates and diameters: USGS/IAU Gazetteer of Planetary Nomenclature,
# https://planetarynames.wr.usgs.gov/ (approved Moon features), retrieved 2026-09-25T03:27:54Z;
# U.S. Public Domain (USGS). Selection, ranks and descriptions: SkyFix Lab.
# Selenographic, planetocentric, east-positive longitude, degrees; diameter km.
# name	kind	lat_deg	lon_deg	diameter_km	rank	description
Rimae Triesnecker	rima	5.10	4.83	200.00	3	The Triesnecker rilles, a tangled network near the centre
Rimae Hippalus	rima	-25.60	-29.36	266.00	3	The Hippalus rilles, arcs along the shore of Humorum
Rimae Sirsalis	rima	-15.01	-61.36	405.00	3	The Sirsalis rille, one of the longest on the Moon
Dorsa Smirnov	dorsum	26.41	25.53	221.78	2	The Serpentine Ridge, a wrinkle ridge winding across Serenitatis
Promontorium Heraclides	promontorium	40.60	-34.10	50.00	2	Cape Heraclides, the western tip of Sinus Iridum
Promontorium Laplace	promontorium	46.84	-25.51	50.00	3	Cape Laplace, the eastern tip of Sinus Iridum
Reiner Gamma	albedo	7.39	-58.96	73.44	1	A bright swirl on the dark plain, with no relief at all
Copernicus	crater	9.62	-20.08	96.07	1	A crater with terraced walls and central peaks; rays at full Moon
Tycho	crater	-43.30	-11.22	85.29	1	A young crater whose bright rays cross the whole disc at full Moon
Kepler	crater	8.12	-38.01	29.49	2	A bright ray crater in Oceanus Procellarum
Aristarchus	crater	23.73	-47.49	39.99	1	The brightest crater on the Moon, on a dark volcanic plateau
Plato	crater	51.62	-9.38	100.68	1	A crater with a flat, dark lava floor, north of Imbrium
Clavius	crater	-58.62	-14.73	230.77	1	One of the largest craters, with an arc of smaller craters on its floor
Ptolemaeus	crater	-9.16	-1.84	153.67	1	A great walled plain near the centre, first of a chain of three
Alphonsus	crater	-13.39	-2.85	110.54	2	A crater with a central peak and dark-halo pits; Ranger 9 hit here
Arzachel	crater	-18.26	-1.93	96.99	2	A crater with a sharp central peak, south of Alphonsus
Theophilus	crater	-11.45	26.28	98.59	1	A deep crater with massive central peaks
Cyrillus	crater	-13.29	24.07	98.09	2	An older crater overlapped by Theophilus
Catharina	crater	-17.98	23.55	98.77	2	A worn crater, the third of the Theophilus trio
Langrenus	crater	-8.86	61.04	131.98	2	A large crater near the eastern limb, bright at full Moon
Petavius	crater	-25.39	60.78	184.06	1	A large crater with a rille running from its central peaks
Vendelinus	crater	-16.46	61.55	141.21	3	A worn walled plain between Langrenus and Petavius
Grimaldi	crater	-5.38	-68.36	235.00	2	The darkest patch on the western limb, a lava-floored basin
Schickard	crater	-44.38	-55.11	212.18	2	A vast walled plain in the south-west
Gassendi	crater	-17.55	-39.96	111.39	1	A crater with a cracked floor on the north shore of Humorum
Eratosthenes	crater	14.47	-11.32	58.77	2	A crater at the end of the Apennines
Archimedes	crater	29.72	-3.99	81.04	2	A flat-floored crater in Imbrium
Aristillus	crater	33.88	1.21	54.37	3	A crater with terraced walls and central peaks in Imbrium
Autolycus	crater	30.68	1.49	38.88	3	A small crater; Luna 2 struck close by in 1959
Posidonius	crater	31.88	29.99	95.06	2	A crater with rilles on its floor, on the shore of Serenitatis
Atlas	crater	46.74	44.38	88.12	3	A crater in the north-east, paired with Hercules
Hercules	crater	46.82	39.21	68.32	3	A crater beside Atlas
Endymion	crater	53.61	56.48	122.10	3	A dark-floored crater near the north-eastern limb
Messier	crater	-1.90	47.65	13.80	2	Messier and Messier A, a small pair with twin comet-tail rays
Proclus	crater	16.09	46.89	26.91	3	A bright crater with rays fanning out on one side only
Maurolycus	crater	-41.77	13.92	115.35	3	A large crater in the crowded southern highlands
Stöfler	crater	-41.24	5.93	129.87	3	A large crater with a smooth, flat floor
Walter	crater	28.04	-33.81	1.26	3	A walled plain, last of the Purbach chain
Purbach	crater	-25.51	-2.03	114.97	3	A worn crater, first of a chain with Regiomontanus and Walter
Deslandres	crater	-32.55	-5.57	227.02	3	An ancient walled plain, one of the largest on the near side
Longomontanus	crater	-49.55	-21.88	145.50	3	A walled plain south-west of Tycho
Maginus	crater	-50.03	-5.98	155.58	3	A worn walled plain that vanishes in sunlight at full Moon
Moretus	crater	-70.63	-5.95	114.45	3	A crater with a tall central peak, towards the south pole
Schiller	crater	-51.72	-39.78	179.36	2	A long crater, like a footprint, in the south-west
Wargentin	crater	-49.53	-60.44	84.69	2	A crater filled to the brim with lava: a raised plateau
Bailly	crater	-66.82	-68.90	300.56	2	One of the largest craters, on the south-western limb
Hevelius	crater	2.20	-67.46	113.87	3	A crater with rilles on its floor, near the western limb
Riccioli	crater	-2.90	-74.42	155.66	3	A crater with a dark patch in its floor, near the western limb
Humboldt	crater	-27.02	80.96	199.46	3	A large crater with a fractured floor on the eastern limb
Janssen	crater	-44.96	40.82	200.65	3	An ancient walled plain crossed by rilles
Fracastorius	crater	-21.36	33.07	120.58	2	A crater whose northern wall was drowned by Mare Nectaris
Albategnius	crater	-11.24	4.01	130.84	2	A walled plain next to Ptolemaeus
Hipparchus	crater	-5.36	4.91	143.95	3	A worn walled plain near the centre
Manilius	crater	14.45	9.07	38.34	3	A crater on the edge of Mare Vaporum
Menelaus	crater	16.26	15.93	27.13	3	A bright crater on the southern shore of Serenitatis
Linné	crater	27.75	11.80	2.23	3	A small bright crater once wrongly thought to have vanished
Eudoxus	crater	44.27	16.23	70.16	3	A crater south of Aristoteles
Aristoteles	crater	50.24	17.32	87.57	2	A crater with terraced walls on the edge of Mare Frigoris
Cassini	crater	40.25	4.64	56.88	3	A crater with a smaller crater inside it
Pythagoras	crater	63.68	-62.98	144.55	3	A large crater near the north-western limb
Anaxagoras	crater	73.48	-10.17	51.90	3	A young crater near the north pole with bright rays
Bullialdus	crater	-20.75	-22.26	60.72	2	A crater with terraced walls in Mare Nubium
Fra Mauro	crater	-6.06	-16.97	96.76	2	A worn crater; the Apollo 14 site lies in the hills to its north
Letronne	crater	-10.50	-42.49	117.59	3	A half-drowned crater opening onto Procellarum
Pitatus	crater	-29.88	-13.53	100.63	3	A crater with a dark floor on the edge of Nubium
Descartes	crater	-11.74	15.67	47.73	2	A worn crater; the Apollo 16 site lies in the highlands to its north
Rheita	crater	-37.10	47.17	70.81	3	A crater at the head of the Rheita Valley
Marius	crater	11.90	-50.84	40.09	3	A crater among the Marius Hills, a field of volcanic domes
Herodotus	crater	23.25	-49.84	35.87	3	A crater beside Aristarchus, at the head of Schröter's Valley
Birt	crater	-22.36	-8.59	15.81	3	A small crater beside the Straight Wall
Hyginus	crater	7.76	6.27	8.70	3	A small crater at the bend of the Hyginus Rille
Picard	crater	14.57	54.72	22.35	3	A crater inside Mare Crisium
Pytheas	crater	20.57	-20.59	18.81	3	A bright crater between Copernicus and Lambert
Harpalus	crater	52.73	-43.49	39.77	3	A bright young crater in Sinus Roris
Gruithuisen	crater	32.89	-39.78	14.98	3	A crater near the Gruithuisen domes
Flamsteed	crater	-4.49	-44.34	19.34	3	A crater just north of which Surveyor 1 landed in 1966
Hortensius	crater	6.47	-28.00	14.16	3	A crater with a field of small volcanic domes to its north
Hesiodus	crater	-29.42	-16.42	43.24	3	A crater at the end of a long rille
Torricelli	crater	-4.72	28.40	30.87	3	A small keyhole-shaped crater in Sinus Asperitatis
Gutenberg	crater	-8.61	41.25	70.65	3	A crater breached by lava on the edge of Fecunditatis
Colombo	crater	-15.26	46.02	79.02	3	A large crater on the south-west shore of Fecunditatis
Hainzel	crater	-41.23	-33.52	70.56	3	A crater made of overlapping rings
Kies	crater	-26.31	-22.63	45.54	3	A lava-flooded ghost crater in Mare Nubium
Mercator	crater	-29.25	-26.11	46.32	3	A crater on the edge of Palus Epidemiarum
Shackleton	crater	-89.67	129.78	20.92	3	A crater at the south pole, its floor in permanent shadow
Peary	crater	88.63	24.40	78.75	3	A crater at the north pole
Apollo 11	landing_site	0.67	23.47	0.00	1	Tranquility Base, the first crewed landing, 20 July 1969
Apollo 12	landing_site	-3.02	-23.42	0.00	2	Apollo 12 landed beside the Surveyor 3 probe, November 1969
Apollo 14	landing_site	-3.65	-17.47	0.00	2	Apollo 14 explored the Fra Mauro highlands, February 1971
Apollo 15	landing_site	26.13	3.64	0.00	2	Apollo 15 drove the first rover along Hadley Rille, July 1971
Apollo 16	landing_site	-8.98	15.50	0.00	2	Apollo 16 explored the Descartes highlands, April 1972
Apollo 17	landing_site	20.18	30.77	0.00	2	Apollo 17, the last crewed landing, Taurus-Littrow valley, December 1972
